State,Location,Wage Gap,
Alabama,"32.806671, -86.79113",73,
Alaska,"61.370716, -152.404419",82,
Arizona,"33.729759, -111.431221",85,
Arkansas,"34.969704, -92.373123",79,
California,"36.116203, -119.681564",89,
Colorado,"39.059811, -105.311104",82,
Connecticut,"41.597782, -72.755371",83,
Delaware,"39.318523, -75.507141",86,
Florida,"27.766279, -81.686783",87,
Georgia,"33.040619, -83.643074",83,
Hawaii,"21.094318, -157.498337",81,
Idaho,"44.240459, -114.478828",75,
Illinois,"40.349457, -88.986137",78,
Indiana,"39.849426, -86.258278",73,
Iowa,"42.011539, -93.210526",75,
Kansas,"38.5266, -96.726486",77,
Kentucky,"37.66814, -84.670067",79,
Louisiana,"31.169546, -91.867805",69,
Maine,"44.693947, -69.381927",82,
Maryland,"39.063946, -76.802101",86,
Massachusetts,"42.230171, -71.530106",83,
Michigan,"43.326618, -84.536095",78,
Minnesota,"45.694454, -93.900192",82,
Mississippi,"32.741646, -89.678696",77,
Missouri,"38.456085, -92.288368",78,
Montana,"46.921925, -110.454353",79,
Nebraska,"41.12537, -98.268082",77,
Nevada,"38.313515, -117.055374",83,
New Hampshire,"43.452492, -71.563896",79,
New Jersey,"40.298904, -74.521011",80,
New Mexico,"34.840515, -106.248482",83,
New York,"42.165726, -74.948051",88,
North Carolina,"35.630066, -79.806419",84,
North Dakota,"47.528912, -99.784012",79,
Ohio,"40.388783, -82.764915",78,
Oklahoma,"35.565342, -96.928917",77,
Oregon,"44.572021, -122.070938",82,
Pennsylvania,"40.590752, -77.209755",80,
Rhode Island,"41.680893, -71.51178",84,
South Carolina,"33.856892, -80.945007",77,
South Dakota,"44.299782, -99.438828",77,
Tennessee,"35.747845, -86.692345",82,
Texas,"31.054487, -97.563461",81,
Utah,"40.150032, -111.862434",71,
Vermont,"44.045876, -72.710686",86,
Virginia,"37.769337, -78.169968",79,
Washington,"47.400902, -121.490494",78,
West Virginia,"38.491226, -80.954453",74,
Wisconsin,"44.268543, -89.616508",80,
Wyoming,"42.755966, -107.30249",77,